term,tf,af,kf
to,50316,1163,52028
the,43614,1853,77994
for,35344,755,17799
svn,33061,2343,8196
in,30260,474,31980
of,25113,838,17622
hadoop,23855,4936,49910
and,22590,1558,20412
by,22374,124,13049
fix,17914,724,5178
org,17729,85,26870
branch,17542,3693,17111
apache,16905,15852,10052
common,16607,139,16575
git,16287,5883,3814
https,15983,2998,338
id,15941,46,4328
asf,15456,0,15382
repos,15423,0,15388
47bb,15417,0,8859
ffa450edef68,15417,0,8859
13f79535,15417,7642,8859
from,14607,307,8190
is,13794,480,21016
add,12897,1045,4419
merge,12620,840,4611
test,11820,237,5974
on,11334,115,12309
fixed,10895,419,2305
with,10616,304,5813
hdfs,10098,4699,21400
branches,9920,1,9887
not,9852,467,8138
cassandra,9829,4058,7300
trunk,9409,134,8360
contributed,9213,7045,4568
when,8664,597,6237
use,8025,533,4719
it,7870,884,9806
added,7602,740,1970
that,7511,318,6222
java,7285,882,26746
into,6894,126,2757
review,6507,401,512
tests,6505,250,2556
be,6386,122,7254
commit,6183,111,5029
as,5898,443,6775
some,5858,101,2035
remove,5823,343,1773
this,5751,1778,4740
more,5634,123,1913
kt,5253,722,1299
yarn,5118,2664,2191
if,4942,515,4115
+review,4843,379,304
update,4752,127,1142
fixes,4750,912,508
patch,4748,442,1877
code,4652,245,2400
are,4477,83,3256
release,4391,121,1181
class,4373,262,2158
make,4241,152,1410
issue,4224,255,719
via,4212,27,2198
an,4199,31,7020
we,4192,687,4758
new,4057,263,1979
reviewed,4014,1373,835
change,3985,170,2251
changes,3761,859,1330
file,3728,243,2054
mapreduce,3657,2178,988
should,3596,67,2829
minor,3543,291,252
method,3526,261,1741
result,3492,2289,1002
server,3483,783,7406
support,3452,127,1697
build,3418,256,1655
can,3310,139,2548
removed,3307,255,921
plugin,3257,126,995
was,3187,77,1847
now,3175,220,1558
all,3152,112,2697
type,3143,122,1739
which,3138,363,2221
master,3045,1404,357
no,3022,154,2600
version,2939,134,1351
so,2908,417,2666
motivation,2855,1806,892
only,2837,118,1692
up,2813,45,1155
default,2795,202,1489
instead,2785,162,1128
move,2695,106,1034
error,2681,118,1254
api,2654,217,1643
using,2654,127,1382
methods,2601,119,1431
after,2584,72,1251
classes,2554,86,1029
tachyon,2504,130,1392
modifications,2459,2590,133
gradle,2402,524,775
used,2380,85,1512
maven,2370,40,796
project,2365,112,9613
name,2350,279,1391
set,2348,169,1673
check,2304,98,1542
don,2281,1028,255
out,2255,95,1037
will,2224,49,2146
kotlin,2215,157,860
message,2214,161,1323
data,2204,101,1355
request,2181,62,1410
bug,2179,69,715
do,2135,125,1416
case,2130,98,958
changed,2098,99,859
user,2094,242,1682
files,2087,86,942
allow,2076,96,1227
src,2035,11,12692
rename,1983,132,469
at,1980,159,3631
also,1966,325,1021
web,1932,934,541
have,1926,163,1210
pull,1910,14,1133
get,1871,160,1022
or,1852,109,3155
package,1838,81,801
txt,1827,602,937
task,1804,140,1258
exception,1762,109,1249
client,1748,142,1295
work,1695,113,754
js,1691,232,355
create,1691,219,814
one,1687,86,1033
implementation,1682,87,902
conflicts,1679,852,100
moved,1648,101,508
http,1622,427,2045
configuration,1611,109,836
updated,1610,77,433
but,1609,368,903
before,1586,92,1070
dependency,1574,98,818
time,1547,184,1312
unit,1530,42,643
unused,1530,13,242
adding,1523,71,463
function,1522,86,480
better,1481,72,454
because,1480,198,992
log,1472,111,974
does,1472,22,1055
prepare,1468,4,74
feat,1464,17,58
cleanup,1464,90,334
interface,1459,70,604
android,1446,463,277
need,1442,58,908
non,1435,54,764
value,1406,104,950
null,1405,285,1709
has,1400,63,887
javadoc,1399,55,453
there,1391,240,773
parameter,1385,77,592
notes,1377,19,206
object,1368,79,818
model,1358,54,704
output,1356,46,575
ignore,1355,22,664
refactoring,1349,103,229
missing,1347,50,434
avoid,1347,14,637
xml,1346,705,1135
spec,1346,63,226
correctly,1345,79,970
types,1340,56,573
about,1339,16,465
properties,1338,114,591
call,1323,58,835
list,1319,125,774
correct,1316,43,608
return,1312,100,846
module,1306,99,733
local,1290,53,805
cache,1287,45,851
property,1275,79,537
main,1270,39,5310
merging,1263,24,1079
windows,1251,122,525
string,1243,216,734
related,1226,99,535
index,1220,50,701
origin,1219,140,535
core,1211,181,1933
improve,1209,42,394
netty,1200,183,840
where,1195,64,670
same,1192,18,729
other,1187,34,662
write,1177,193,1722
fails,1175,98,801
handling,1165,31,491
refactor,1160,58,238
kbp,1159,27,910
usage,1157,47,438
com,1154,69,2632
path,1147,105,969
handle,1139,42,748
coverage,1132,38,300
names,1131,38,600
run,1125,64,658
messages,1120,62,664
first,1119,58,555
beta,1119,1118,686
graylog2,1114,38,477
buffer,1111,119,1456
read,1109,62,1440
line,1098,42,484
native,1096,39,758
next,1092,19,197
integration,1091,17,279
than,1090,12,640
memory,1080,60,963
jbellis,1079,22,186
source,1079,34,507
idea,1075,73,501
example,1071,149,879
issues,1054,41,385
problem,1046,61,364
compiler,1039,58,533
dependencies,1038,64,515
block,1038,51,622
comments,1035,27,116
compilation,1035,31,275
empty,1025,64,567
system,1021,115,539
performance,1019,73,541
docs,1019,51,316
fixing,1018,40,383
possible,1014,54,615
implement,1011,56,364
any,992,47,590
jvm,992,95,627
during,979,20,519
command,978,56,511
they,973,81,548
functions,971,32,279
constructor,968,78,438
documentation,968,47,315
made,968,40,335
mode,967,77,419
channel,966,356,3391
renamed,963,68,218
resolve,962,58,427
+,961,158,335
replace,959,65,294
node,957,140,827
without,954,40,479
back,951,21,597
its,951,14,643
reference,950,54,556
library,949,96,497
stream,945,101,930
multiple,945,14,649
thread,944,46,1042
see,940,196,160
field,939,44,366
fail,934,59,717
doesn,931,367,275
cases,930,24,394
npe,927,130,613
remote,926,39,410
nlp,921,0,902
clean,921,39,259
jar,920,183,666
level,918,38,498
size,909,73,555
logging,909,24,341
always,908,31,513
tasks,905,86,694
parameters,904,38,319
javanlp,900,4,890
static,895,53,377
druid,894,132,722
old,892,25,361
annotation,891,36,326
based,884,28,477
unnecessary,881,8,423
completion,878,14,177
daemon,875,66,745
component,870,135,380
improved,862,36,203
failure,861,65,581
ancestry,858,0,548
way,855,47,522
just,855,71,483
errors,853,27,309
order,853,62,646
report,852,46,335
annotations,846,33,243
values,843,128,465
internal,842,72,364
input,830,47,644
directory,829,85,480
option,826,64,453
pom,821,323,853
state,816,74,647
introduce,813,70,183
deprecated,813,68,313
import,812,6,197
number,812,28,629
typo,811,19,181
were,806,12,431
warnings,801,47,358
config,800,37,342
format,795,91,325
close,791,233,723
separate,790,93,245
logic,784,9,372
wrong,775,49,360
iteration,775,6,69
copy,775,47,448
needed,773,64,427
broken,771,37,211
extract,769,29,188
script,762,36,311
debug,760,32,264
them,755,33,366
running,749,21,381
generate,746,34,376
created,746,39,411
binary,745,54,393
slebresne,745,53,192
may,745,13,577
while,740,68,436
bobby,739,150,440
due,725,62,435
try,723,20,428
chore,721,19,22
imports,721,21,125
sure,715,9,270
map,715,79,458
development,714,3,41
service,713,34,523
picked,709,0,66
cherry,707,22,69
header,707,89,918
int,704,85,241
info,702,32,337
versions,702,31,339
upgrade,699,108,384
tucu,699,256,200
updates,699,15,214
rule,698,30,356
start,694,61,387
revert,694,172,210
include,693,39,330
delete,693,47,212
between,687,13,345
public,685,59,369
properly,683,45,349
query,681,159,339
less,679,43,294
being,675,14,397
comment,675,17,128
like,674,69,309
current,674,14,470
been,673,19,531
information,671,26,397
processing,671,49,352
bit,671,85,208
compile,668,30,274
introduced,667,67,197
removing,667,33,154
access,665,63,408
extension,665,35,350
single,663,143,243
fields,662,26,253
auto,661,4,462
variable,656,40,306
objects,656,52,369
snapshot,655,114,256
each,655,18,368
still,653,67,409
ensure,652,13,367
resolution,652,38,310
connection,648,76,667
rm,643,35,634
todo,643,88,92
calls,643,38,314
rules,642,37,298
small,641,29,191
disable,640,14,375
too,640,60,270
generated,640,20,277
since,638,126,316
page,635,30,289
even,634,46,479
resource,632,23,349
drop,629,21,166
failing,629,39,209
simplify,627,33,130
setting,627,19,356
supported,625,26,227
job,619,79,461
available,617,46,384
implemented,616,48,192
final,616,57,210
aleksey,612,9,261
another,611,12,172
re,611,23,743
working,610,15,168
private,610,34,284
github,610,297,30
ios,607,457,118
initial,605,13,302
rid,605,4,190
longer,603,6,313
process,598,27,355
search,598,13,223
provide,597,89,318
timeout,596,67,411
handler,596,97,1030
uses,595,49,355
tooling,595,7,202
these,593,68,369
address,592,42,443
show,592,28,247
event,590,31,683
link,588,17,250
creation,587,21,252
doc,585,14,150
metrics,580,50,305
custom,580,30,201
namenode,579,73,2525
split,577,69,186
options,575,42,268
stuff,574,22,206
brandonwilliams,574,62,136
improvements,573,16,135
group,568,21,458
rather,568,85,229
implementations,565,37,298
already,565,16,331
runtime,564,91,254
sources,564,31,241
document,563,27,240
specific,560,29,288
port,559,36,525
array,558,64,560
content,558,46,607
plugins,557,37,269
examples,557,48,251
backend,555,93,70
io,554,45,787
throw,554,22,408
protocol,553,61,388
exceptions,552,33,289
container,552,45,440
formatting,551,18,80
pass,550,17,264
warning,549,38,166
enable,548,14,232
usages,545,13,172
jdk,544,56,398
context,543,37,311
creating,543,33,217
two,543,17,256
last,541,22,269
application,541,37,452
text,541,21,258
open,540,75,306
per,539,27,398
yeschenko,539,64,207
users,538,56,412
progress,538,26,300
instance,536,51,306
section,535,118,224
classpath,535,54,284
part,535,28,231
app,534,36,462
loop,533,77,539
few,531,35,164
incremental,530,26,159
cluster,530,62,266
checkstyle,529,5,77
arguments,529,23,218
currently,527,112,249
db,526,22,627
incorrect,525,26,300
play,525,14,146
story,524,46,87
modification,523,394,72
expression,521,24,193
called,520,13,423
long,519,89,256
worker,519,79,152
key,517,33,372
target,517,32,195
failures,516,47,302
inline,515,14,116
generation,515,11,186
again,514,45,190
could,511,10,308
done,511,30,251
checks,510,18,272
md,510,46,62
once,510,64,343
testing,508,26,212
store,508,25,284
references,508,12,205
storage,507,37,358
replaced,507,51,167
style,507,4,118
settings,506,45,318
parser,505,30,163
how,505,4,305
end,503,30,336
lazy,503,29,138
flag,501,35,391
results,501,34,261
transport,501,19,583
checking,501,9,189
loading,500,10,187
dsl,499,16,191
resources,499,45,279
over,499,24,286
ivy,496,33,318
our,496,26,366
operations,496,32,333
load,496,27,244
convert,494,10,173
execution,494,13,215
colin,492,39,321
distributed,492,19,115
mccabe,492,21,305
ryza,487,13,270
operation,487,58,337
sandy,487,146,270
nodes,485,45,281
reduce,484,31,322
ui,484,38,270
enabled,484,57,276
actually,481,10,238
extracted,478,48,86
works,478,9,198
consistent,478,25,219
enum,478,10,187
additional,477,9,164
take,477,42,268
find,477,41,187
returns,476,43,244
override,475,20,206
leak,474,52,431
tostring,472,141,116
signature,472,36,155
closed,472,81,542
collection,471,63,279
simple,468,33,138
compatibility,467,30,182
against,466,8,229
he,465,87,762
rest,465,5,163
groovy,463,35,255
length,462,66,501
base,462,13,181
extra,462,0,222
shutdown,460,115,309
problems,460,28,170
prevent,459,15,211
around,459,17,170
headers,459,38,574
artifact,459,15,312
metadata,458,29,211
merged,458,17,156
util,458,221,125
chris,457,31,143
directly,456,36,268
tweaks,454,7,35
validation,453,16,259
duplicate,452,12,198
then,451,50,339
yet,450,38,175
feature,450,41,181
count,449,18,327
attempt,449,25,226
tracking,446,2,146
range,446,7,231
condition,446,13,271
failed,446,36,282
until,445,28,222
response,443,73,527
cannot,442,13,255
obsolete,441,3,106
scope,439,52,230
repository,438,16,122
both,438,25,253
daryn,437,248,203
argument,437,24,170
filter,436,19,176
byte,434,55,703
under,433,14,268
serialization,431,26,120
patrick,427,0,308
events,427,30,316
parsing,427,24,147
lock,425,32,380
table,425,22,175
todd,423,17,252
constructors,422,13,152
ant,422,25,169
off,420,18,230
ci,420,9,123
behavior,420,17,246
platform,419,36,195
javadocs,419,7,161
readme,417,12,33
what,416,27,221
entry,416,20,296
record,415,16,289
json,414,54,229
smallfix,413,0,139
redundant,413,8,104
graph,411,28,206
moving,411,11,131
lipcon,409,5,247
members,409,19,141
down,408,40,246
bytebuf,407,58,629
ide,406,9,133
race,405,13,310
proper,404,12,144
scripts,403,9,164
robert,403,86,236
action,402,24,183
ea,401,48,112
well,401,24,167
invalid,401,6,253
must,401,11,260
queue,400,58,418
database,399,18,156
able,399,7,354
you,398,16,300
sample,397,14,95
needs,397,31,188
generic,397,19,149
their,397,4,239
jason,396,108,254
caching,393,27,158
mention,393,6,102
cli,391,43,186
bytes,390,87,576
requests,390,17,448
tweak,389,8,42
debugging,388,10,52
refactored,387,21,75
through,386,6,216
allows,386,19,262
keep,385,20,179
token,385,19,256
stdlib,383,37,89
true,383,89,262
status,382,49,239
max,382,10,263
right,382,20,185
full,378,22,203
later,377,48,159
required,377,23,147
found,376,42,171
thrift,376,10,85
metamx,374,11,507
